Unnamed: 0,name,original_style,brewery,abv,ave rating,min ibu,max ibu,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty,state,country,retired,style,milk,old,dark,wild,pale,red,imperial
130,Brick Kiln,Barleywine - English,Jackie O's Pub & Brewery,10.5,3.99,40,60,3,58,48,39,101,12,0,48,38,3,95,OH,US,f,Barleywine,0,0,0,0,0,0,0
131,Mash & Coconut,Barleywine - English,The Bruery,13.0,4.3,40,60,9,64,67,19,126,17,1,101,13,30,134,CA,US,f,Barleywine,0,0,0,0,0,0,0
132,Mash & Vanilla,Barleywine - English,The Bruery,13.3,4.2,40,60,14,78,74,19,96,17,1,41,12,72,106,CA,US,f,Barleywine,0,0,0,0,0,0,0
133,Vermilion Barleywine,Barleywine - English,Perennial Artisan Ales,10.5,4.03,40,60,4,72,36,34,120,26,0,68,29,13,92,MO,US,f,Barleywine,0,0,0,0,0,0,0
134,Commander,Barleywine - English,Lift Bridge Brewery,12.5,4.02,40,60,4,51,71,10,96,17,0,34,11,66,95,MN,US,f,Barleywine,0,0,0,0,0,0,0
135,Pugsley'S Signature Series: Barley Wine,Barleywine - English,Shipyard Brewing Company,8.5,3.68,40,60,23,99,30,65,124,42,0,63,54,20,130,ME,US,f,Barleywine,0,0,0,0,0,0,0
136,Barrel Aged The Murderous,Barleywine - English,Pipeworks Brewing Company,13.0,4.31,40,60,6,72,94,4,110,22,1,54,3,29,134,IL,US,f,Barleywine,0,0,0,0,0,0,0
137,Bommen & Granaten,Barleywine - English,Brouwerij De Molen,15.2,3.97,40,60,11,55,39,36,144,45,0,88,30,6,70,,NL,f,Barleywine,0,0,0,0,0,0,0
138,Lunker,Barleywine - English,Steel Toe Brewing,14.4,4.29,40,60,8,75,98,20,133,23,0,45,13,39,151,MN,US,f,Barleywine,0,0,0,0,0,0,0
139,Double Old Thumper Ale,Barleywine - English,Shipyard Brewing Company,11.2,3.6,40,60,2,62,63,57,145,54,0,80,68,17,125,ME,US,f,Barleywine,0,0,0,0,0,0,0
140,Wooden Hell,Barleywine - English,Flossmoor Station Restaurant & Brewery,9.5,4.47,40,60,11,77,90,35,134,28,0,78,44,51,143,IL,US,f,Barleywine,0,0,0,0,0,0,0
141,Golden Pride,Barleywine - English,Fuller Smith & Turner PLC,8.5,4.05,40,60,9,48,54,37,101,35,0,59,39,4,111,GB2,GB,f,Barleywine,0,0,0,0,0,0,0
142,V.S.O.J.,Barleywine - English,Revolution Brewing,14.0,4.68,40,60,2,48,39,19,87,10,0,54,2,19,100,IL,US,f,Barleywine,0,0,0,0,0,0,0
144,Stormwatcher'S Winterfest,Barleywine - English,Pelican Pub & Brewery,13.0,4.14,40,60,7,57,46,29,122,26,2,74,30,16,130,OR,US,f,Barleywine,0,0,0,0,0,0,0
146,Old Abominable,Barleywine - English,Stoudts Brewing Co.,9.0,3.71,40,60,11,51,23,29,114,33,6,53,36,4,91,PA,US,f,Barleywine,0,0,0,0,0,0,0
147,"Lawyers, Guns & Money",Barleywine - English,Crazy Mountain Brewery,10.0,3.91,40,60,14,42,28,56,88,55,0,65,79,10,82,CO,US,f,Barleywine,0,0,0,0,0,0,0
148,Murderous,Barleywine - English,Pipeworks Brewing Company,9.5,3.79,40,60,8,66,35,43,135,27,1,62,48,15,129,IL,US,f,Barleywine,0,0,0,0,0,0,0
150,Fuller'S Esb,Bitter Strong - English,Fuller Smith & Turner PLC,5.9,4.07,20,40,15,59,16,41,63,23,0,37,57,10,67,GB2,GB,f,Bitter,0,0,0,0,0,0,0
